concept_code,concept_name,date,overall_sentiment,overall_importance,overall_impact,overall_duration,news_consistency,fcast_ret,close,high,low,open,volume
884028.WI,智能电网指数,2025-10-31,0.65,7.8,7.2,8.5,8.0,6.8,4982.2532,5006.2447,4938.4074,4938.5417,1782684600.0
884028.WI,智能电网指数,2025-11-03,0.75,7.3,7.8,8.2,8.1,7.1,5075.5891,5081.3813,4986.659,4998.5308,2188448500.0
884028.WI,智能电网指数,2025-11-04,0.45,7.3,6.8,7.2,7.6,6.5,5111.1773,5180.2284,5079.4107,5083.5316,2449450000.0
884028.WI,智能电网指数,2025-11-05,0.85,8.5,8.0,8.0,9.0,8.5,5330.3334,5349.2141,5043.0432,5044.9117,3688867900.0
884028.WI,智能电网指数,2025-11-06,0.75,7.8,7.5,8.5,8.2,7.3,5383.3154,5453.3386,5340.6107,5370.2738,4179039300.0
884028.WI,智能电网指数,2025-11-07,0.75,8.3,7.8,8.5,9.0,6.5,5377.6879,5450.3567,5363.3596,5366.2913,3552111300.0
884028.WI,智能电网指数,2025-11-10,0.75,8.2,7.5,8.0,8.5,6.8,5386.5551,5407.4651,5306.0634,5397.3174,3092298700.0
884028.WI,智能电网指数,2025-11-11,0.58,7.3,6.8,8.2,8.5,6.4,5368.3135,5478.8583,5351.6149,5410.8541,2678182400.0
884028.WI,智能电网指数,2025-11-12,0.75,7.8,7.2,7.5,8.3,6.8,5256.8853,5341.6804,5213.0141,5341.5391,2439033200.0
884028.WI,智能电网指数,2025-11-13,0.75,8.3,7.8,8.0,8.5,7.5,5321.4514,5328.5249,5216.3908,5247.6129,2120660100.0
884028.WI,智能电网指数,2025-11-14,0.6,6.5,6.0,6.5,7.0,6.5,5268.1997,5334.9277,5243.0088,5288.0251,1982327400.0
884028.WI,智能电网指数,2025-11-17,0.55,7.2,7.8,6.8,8.3,6.7,5233.2002,5268.911,5188.4008,5261.2301,1681493100.0
884028.WI,智能电网指数,2025-11-18,0.75,8.3,7.8,8.5,8.2,6.5,5129.5412,5212.9237,5106.7175,5212.9237,1589890200.0
884028.WI,智能电网指数,2025-11-19,0.65,7.3,7.0,8.0,8.5,6.8,5020.0497,5138.6745,5003.9633,5126.3723,1440806800.0
884028.WI,智能电网指数,2025-11-20,0.45,7.3,6.8,7.5,8.2,6.5,4966.2031,5054.9268,4955.9762,5042.2341,1451592700.0
884028.WI,智能电网指数,2025-11-21,0.35,7.3,6.8,8.2,6.7,5.4,4710.7834,4921.2549,4710.7665,4898.1768,1851533400.0
884030.WI,物联网指数,2025-09-05,0.75,7.5,7.0,7.5,8.5,7.5,4201.7592,4203.854,4059.8292,4094.6976,1775794100.0
884030.WI,物联网指数,2025-09-08,0.75,7.8,7.2,8.5,8.3,7.4,4244.3205,4250.1962,4171.1684,4205.8686,1606714300.0
884030.WI,物联网指数,2025-09-09,0.75,7.8,6.5,7.2,8.3,5.8,4142.3319,4224.9749,4128.0597,4224.9416,1456321300.0
884030.WI,物联网指数,2025-09-10,0.8,7.5,7.2,7.8,8.5,7.3,4175.9449,4205.3074,4151.6187,4152.13,1549563300.0
884030.WI,物联网指数,2025-09-11,0.75,8.3,7.8,7.5,8.5,7.2,4298.7862,4298.7862,4136.2552,4167.4554,2000679800.0
884030.WI,物联网指数,2025-09-12,0.6,7.2,6.8,6.5,8.0,6.3,4342.984,4374.4383,4283.586,4301.6624,2151830300.0
884030.WI,物联网指数,2025-09-15,0.55,6.5,6.0,5.5,7.5,6.8,4324.0221,4395.4243,4321.8626,4392.9471,1712562500.0
884030.WI,物联网指数,2025-09-16,0.55,6.8,6.5,6.0,7.5,6.8,4395.3046,4397.2426,4308.1447,4319.9198,1859736200.0
884030.WI,物联网指数,2025-09-17,0.75,7.3,7.8,7.5,8.2,6.8,4413.7606,4438.8246,4365.0365,4390.1577,1770969700.0
884030.WI,物联网指数,2025-09-18,0.65,7.2,6.8,6.5,8.0,6.5,4375.3364,4505.9775,4323.3677,4420.1003,2563457500.0
884030.WI,物联网指数,2025-09-19,0.75,7.3,8.1,7.5,8.0,7.2,4336.2865,4428.1804,4320.7833,4379.2066,1750973000.0
884030.WI,物联网指数,2025-09-22,0.75,7.5,7.0,8.0,9.0,7.0,4409.7206,4418.0809,4355.4058,4368.8813,1642651800.0
884030.WI,物联网指数,2025-09-23,0.75,7.5,7.0,7.0,8.0,6.5,4361.8276,4417.3843,4252.8284,4415.368,2032418000.0
884030.WI,物联网指数,2025-09-24,0.8,8.5,7.5,8.0,8.5,7.5,4452.6671,4456.3964,4317.0981,4340.1267,2217577600.0
884030.WI,物联网指数,2025-09-25,0.65,7.3,7.2,7.8,8.1,6.8,4435.1871,4471.3663,4419.9329,4445.1836,1976269500.0
884030.WI,物联网指数,2025-09-26,0.75,7.8,7.3,8.2,8.5,6.8,4342.5135,4447.1157,4342.5135,4416.59,1840263100.0
884030.WI,物联网指数,2025-09-29,0.8,7.5,7.2,7.8,8.5,7.3,4368.7132,4382.8074,4310.3578,4350.2236,1465423600.0
884030.WI,物联网指数,2025-09-30,0.65,7.8,7.3,8.2,8.5,6.8,4436.3491,4450.1526,4387.1735,4387.1735,1541489800.0
884030.WI,物联网指数,2025-10-09,0.85,8.5,7.8,7.5,8.5,7.2,4508.2326,4532.3683,4429.7924,4458.3745,2293080400.0
884030.WI,物联网指数,2025-10-10,0.75,7.8,7.2,8.5,8.0,6.8,4375.288,4475.8639,4364.5304,4475.8639,2065180700.0
884030.WI,物联网指数,2025-10-13,0.65,7.2,7.0,7.5,8.0,7.3,4380.8445,4388.0883,4209.193,4209.193,1943882600.0
884030.WI,物联网指数,2025-10-14,0.6,7.2,7.0,7.5,8.0,6.8,4263.9434,4442.374,4247.7349,4408.7399,2080515000.0
884030.WI,物联网指数,2025-10-15,0.8,8.2,7.5,7.8,8.5,7.2,4322.8668,4323.2767,4218.8336,4265.568,1575447100.0
884030.WI,物联网指数,2025-10-16,0.0,0.0,0.0,0.0,0.0,0.0,4273.1961,4330.9273,4258.5329,4313.9188,1594778400.0
884030.WI,物联网指数,2025-10-17,0.75,7.3,6.8,7.5,8.2,5.8,4119.841,4280.7826,4117.6515,4268.4704,1622491600.0
884030.WI,物联网指数,2025-10-20,0.45,6.3,6.8,5.5,7.2,6.1,4179.4245,4223.9941,4148.4197,4178.2747,1228916700.0
884030.WI,物联网指数,2025-10-21,0.75,8.2,8.0,8.5,8.5,7.2,4250.905,4253.0017,4175.847,4188.6647,1273544300.0
884030.WI,物联网指数,2025-10-22,0.85,8.5,7.5,8.0,9.0,7.5,4210.0612,4240.0866,4183.3208,4223.8966,1064528800.0
884030.WI,物联网指数,2025-10-23,0.8,8.5,7.5,6.5,9.0,7.0,4229.4479,4233.3359,4137.6128,4201.6481,1266957300.0
884030.WI,物联网指数,2025-10-24,0.7,7.5,7.2,7.0,8.0,7.5,4348.0296,4350.4883,4257.4634,4257.4634,1632159500.0
884030.WI,物联网指数,2025-10-27,0.8,8.5,8.0,7.5,9.0,7.5,4400.5555,4404.8,4339.5603,4386.6566,1742856700.0
884030.WI,物联网指数,2025-10-28,0.65,8.3,7.8,8.2,8.5,6.8,4407.6486,4441.1615,4363.523,4382.9208,1682261700.0
884030.WI,物联网指数,2025-10-29,0.65,7.5,6.8,7.2,8.0,6.5,4407.0843,4414.2284,4368.5847,4397.8755,2053064000.0
884030.WI,物联网指数,2025-10-30,0.75,7.2,7.5,7.0,8.0,7.0,4337.7889,4401.9981,4337.7677,4396.5352,2119133200.0
884030.WI,物联网指数,2025-10-31,0.8,8.5,7.5,8.0,8.5,7.0,4320.6241,4364.5617,4305.2634,4330.9696,2072805500.0
884030.WI,物联网指数,2025-11-03,0.8,8.0,8.0,8.0,8.5,7.0,4355.2924,4356.2539,4268.1366,4315.676,1719700800.0
884030.WI,物联网指数,2025-11-04,0.45,7.3,7.0,8.0,8.5,7.2,4301.8482,4339.1847,4273.7711,4338.8723,1549589300.0
884030.WI,物联网指数,2025-11-05,0.55,6.8,6.5,6.0,7.5,6.3,4309.0703,4322.0278,4241.2017,4245.4402,1683565000.0
884030.WI,物联网指数,2025-11-06,0.85,9.0,8.5,9.0,9.5,8.0,4335.8283,4336.9043,4289.9599,4322.5214,1582120500.0
884030.WI,物联网指数,2025-11-07,0.75,8.3,7.8,8.5,8.7,7.2,4297.6295,4339.0336,4290.7617,4310.0373,1579046000.0
884030.WI,物联网指数,2025-11-10,0.75,9.0,8.5,8.5,9.0,7.5,4331.9586,4346.7546,4289.2947,4323.774,1512936200.0
884030.WI,物联网指数,2025-11-11,0.5,6.5,6.5,8.0,8.0,6.5,4329.6078,4391.034,4325.7939,4361.8301,2045658800.0
884030.WI,物联网指数,2025-11-12,0.75,8.5,7.8,8.2,8.5,7.3,4265.5559,4314.471,4228.9899,4311.8003,1722200000.0
884030.WI,物联网指数,2025-11-13,0.75,8.3,7.6,8.1,7.8,7.9,4326.4414,4327.2302,4249.9466,4258.3292,1598194300.0
884030.WI,物联网指数,2025-11-14,0.65,7.3,6.8,7.5,8.2,6.4,4259.2906,4312.5272,4259.2906,4293.087,1523091300.0
884030.WI,物联网指数,2025-11-17,0.45,7.3,7.0,7.5,8.0,7.2,4299.648,4307.2572,4257.3185,4257.5817,1630632900.0
884030.WI,物联网指数,2025-11-18,0.0,0.0,0.0,0.0,0.0,0.0,4312.0576,4327.335,4273.3869,4290.2736,1894122500.0
884030.WI,物联网指数,2025-11-19,0.0,0.0,0.0,0.0,0.0,0.0,4278.7626,4335.6136,4261.1264,4320.116,1883467300.0
884030.WI,物联网指数,2025-11-20,0.8,8.5,7.5,8.0,8.5,7.0,4269.4049,4315.9874,4248.407,4305.3337,1658562200.0
884030.WI,物联网指数,2025-11-21,0.65,8.3,7.2,7.8,8.5,5.4,4142.3069,4247.2765,4140.5738,4207.4842,2197319000.0
884035.WI,新能源指数,2025-09-05,0.75,7.8,7.5,7.2,8.5,7.3,1566.131,1566.458,1486.2594,1486.2594,5677303600.0
884035.WI,新能源指数,2025-09-08,0.45,7.3,6.8,7.5,8.2,6.5,1570.5708,1576.7085,1553.5058,1575.3514,5166557700.0
884035.WI,新能源指数,2025-09-09,0.45,7.2,6.8,7.5,8.0,6.3,1539.4614,1569.8917,1533.9207,1560.0775,3558373600.0
884035.WI,新能源指数,2025-09-10,0.65,7.3,7.8,8.2,8.5,6.8,1523.4344,1539.1145,1507.6248,1534.4268,3221174500.0
884035.WI,新能源指数,2025-09-11,0.45,7.3,7.0,6.5,8.0,6.8,1554.3975,1554.3975,1514.7986,1521.0774,3560917700.0
884035.WI,新能源指数,2025-09-12,0.45,7.3,6.8,8.1,7.6,5.9,1537.1602,1552.8341,1531.55,1552.73,3515993100.0
884035.WI,新能源指数,2025-09-15,0.4,7.2,6.8,8.0,8.5,6.3,1536.5537,1554.9722,1534.4811,1540.012,3479767600.0
884035.WI,新能源指数,2025-09-16,0.55,7.3,6.8,7.5,7.0,6.4,1542.4808,1547.8718,1517.686,1537.6157,3523413000.0
884035.WI,新能源指数,2025-09-17,0.75,7.8,7.5,7.0,8.0,7.5,1567.9376,1569.7555,1532.1422,1539.197,4492097000.0
884035.WI,新能源指数,2025-09-18,0.45,7.3,6.8,8.2,7.1,5.8,1547.504,1581.9232,1530.5931,1564.6766,6107519900.0
884035.WI,新能源指数,2025-09-19,0.58,7.3,6.8,7.5,7.0,6.2,1536.4758,1554.2273,1531.8881,1543.5655,3991130500.0
884035.WI,新能源指数,2025-09-22,0.65,7.8,7.2,8.5,7.0,6.8,1524.1119,1536.2284,1510.6249,1535.6294,3141626800.0
884035.WI,新能源指数,2025-09-23,0.55,7.3,7.8,7.5,7.0,6.2,1513.4577,1529.306,1481.8727,1523.9879,3714128200.0
884035.WI,新能源指数,2025-09-24,0.5,7.5,7.5,7.5,7.5,7.0,1547.5198,1548.0203,1503.3762,1507.3445,4152332600.0
884035.WI,新能源指数,2025-09-25,0.68,7.3,7.5,8.2,8.0,7.2,1558.143,1569.7421,1544.2073,1545.5257,4876023400.0
884035.WI,新能源指数,2025-09-26,0.55,8.3,7.2,8.0,7.5,6.8,1567.377,1585.737,1557.1397,1557.3472,4888324100.0
884035.WI,新能源指数,2025-09-29,0.75,8.3,8.0,8.5,8.0,7.2,1595.1205,1605.5381,1568.5729,1576.7492,4593197700.0
884035.WI,新能源指数,2025-09-30,0.25,6.8,6.5,6.3,6.0,6.2,1612.0818,1618.6414,1595.3457,1596.4276,4141277100.0
884035.WI,新能源指数,2025-10-09,0.45,7.2,6.8,8.0,6.5,6.3,1662.2116,1663.2168,1615.6034,1620.8026,5710569000.0
884035.WI,新能源指数,2025-10-10,-0.35,7.8,7.2,8.5,5.5,4.3,1629.2343,1661.2732,1624.0026,1656.7307,5396714300.0
884035.WI,新能源指数,2025-10-13,0.45,7.3,7.5,7.0,7.2,6.8,1618.5033,1622.255,1563.4438,1563.4438,4946753300.0
884035.WI,新能源指数,2025-10-14,0.45,7.3,6.8,7.5,7.0,6.2,1621.6015,1687.475,1612.2722,1629.7236,6747493800.0
884035.WI,新能源指数,2025-10-15,0.35,7.0,6.5,7.0,6.5,6.5,1643.481,1644.3582,1600.2769,1617.0047,5274393400.0
884035.WI,新能源指数,2025-10-16,0.45,7.2,6.8,7.5,6.5,6.3,1625.9837,1640.1452,1620.7736,1639.4541,4093705500.0
884035.WI,新能源指数,2025-10-17,0.35,7.3,6.8,7.5,8.0,5.8,1554.8896,1627.6935,1552.8959,1623.2071,4378691700.0
884035.WI,新能源指数,2025-10-20,0.65,8.2,7.5,7.8,8.0,6.8,1561.6553,1578.1826,1552.5997,1575.0295,3376839300.0
884035.WI,新能源指数,2025-10-21,0.55,7.3,7.0,7.5,7.8,7.2,1583.772,1587.3697,1561.3281,1564.9216,3248056800.0
884035.WI,新能源指数,2025-10-22,0.55,7.3,7.0,8.0,6.5,6.2,1575.1517,1587.8784,1568.874,1580.9975,2995905600.0
884035.WI,新能源指数,2025-10-23,0.65,8.0,7.5,7.0,8.0,7.5,1582.3409,1584.3796,1547.0342,1568.2702,3099306700.0
884035.WI,新能源指数,2025-10-24,0.55,7.3,7.0,8.0,7.5,6.8,1595.1022,1599.7858,1585.2405,1585.2405,3110123600.0
884035.WI,新能源指数,2025-10-27,0.65,8.3,7.8,8.5,7.5,7.2,1605.1259,1613.9099,1595.1301,1606.0248,4187510700.0
884035.WI,新能源指数,2025-10-28,0.45,7.2,6.8,8.5,8.0,6.3,1597.5483,1607.781,1593.0918,1600.9591,3384226100.0
884035.WI,新能源指数,2025-10-29,0.75,8.5,8.2,8.8,8.0,8.5,1661.1901,1661.3323,1594.4094,1596.0617,4978996800.0
884035.WI,新能源指数,2025-10-30,0.15,7.3,6.8,7.5,6.0,5.8,1647.6524,1668.9954,1643.0425,1657.2404,5213139400.0
884035.WI,新能源指数,2025-10-31,0.55,7.3,7.0,8.5,8.0,6.8,1635.8621,1671.5494,1635.4279,1646.1087,4770663000.0
884035.WI,新能源指数,2025-11-03,0.55,7.8,7.2,7.5,7.0,6.8,1660.6501,1661.0494,1622.2348,1645.5015,4693732400.0
884035.WI,新能源指数,2025-11-04,0.45,7.3,7.8,8.2,6.7,6.5,1641.5473,1670.1561,1630.7466,1662.2867,3841495100.0
884035.WI,新能源指数,2025-11-05,0.65,8.0,8.0,8.0,8.0,8.0,1685.6216,1693.9536,1618.9653,1618.9653,5260403400.0
884035.WI,新能源指数,2025-11-06,0.35,6.8,6.5,7.2,5.5,6.3,1700.9043,1717.7056,1689.8932,1689.9589,5462353800.0
884035.WI,新能源指数,2025-11-07,0.45,8.3,7.2,8.0,6.5,6.8,1719.7219,1729.1574,1688.0587,1693.4188,5451579100.0
884035.WI,新能源指数,2025-11-10,0.85,9.2,8.5,9.0,8.8,7.5,1731.2085,1749.4082,1720.9889,1733.463,5997294200.0
884035.WI,新能源指数,2025-11-11,0.45,7.3,6.8,8.2,6.7,6.5,1750.5221,1771.9002,1739.5263,1739.6441,5464630200.0
884035.WI,新能源指数,2025-11-12,0.35,7.5,6.8,7.2,6.0,6.3,1705.4563,1751.9539,1683.5015,1750.1091,6874836700.0
884035.WI,新能源指数,2025-11-13,0.8,8.5,8.2,8.0,9.0,8.5,1730.3033,1742.2639,1705.8542,1706.2263,5413837600.0
884035.WI,新能源指数,2025-11-14,0.0,0.0,0.0,0.0,0.0,0.0,1730.3004,1771.2272,1707.3847,1714.7047,5773459700.0
884035.WI,新能源指数,2025-11-17,0.55,7.5,7.2,7.8,7.0,6.8,1711.465,1730.5602,1692.0686,1728.7276,4642363400.0
884035.WI,新能源指数,2025-11-18,0.55,7.8,6.5,7.2,7.0,6.3,1670.1886,1712.8903,1661.8966,1707.1429,4086615400.0
884035.WI,新能源指数,2025-11-19,0.4,6.5,6.5,7.0,7.0,5.5,1657.04,1684.421,1642.0438,1667.279,3656763700.0
884035.WI,新能源指数,2025-11-20,0.35,7.3,6.8,7.5,6.7,5.2,1634.5395,1667.9625,1632.8795,1665.462,3457398400.0
884035.WI,新能源指数,2025-11-21,-0.35,7.5,6.8,6.5,4.5,3.2,1552.7193,1614.9439,1552.7193,1609.5958,4256051000.0
884036.WI,风力发电指数,2025-09-05,0.5,7.2,7.0,6.8,7.5,7.3,2938.9536,2939.7199,2799.5268,2799.5268,2063198900.0
884036.WI,风力发电指数,2025-09-08,0.15,6.5,6.0,7.0,5.5,5.5,2963.7538,2975.4398,2934.4584,2951.4927,2321163200.0
884036.WI,风力发电指数,2025-09-09,0.5,7.2,7.0,7.5,8.0,6.8,2923.9634,2965.3817,2908.4851,2948.801,1571493900.0
884036.WI,风力发电指数,2025-09-10,0.85,8.5,8.0,9.0,9.5,7.5,2903.0284,2927.4664,2880.0183,2918.1379,1339709900.0
884036.WI,风力发电指数,2025-09-11,0.65,7.3,6.8,7.5,8.2,6.7,2949.2386,2949.2386,2888.6134,2912.2944,1651647900.0
884036.WI,风力发电指数,2025-09-12,0.65,7.8,7.5,8.5,8.2,7.2,2947.1245,2969.1027,2939.3034,2954.932,1560638300.0
884036.WI,风力发电指数,2025-09-15,0.4,7.2,6.8,6.5,8.0,7.1,2933.7662,2955.7219,2931.69,2950.3278,1646949300.0
884036.WI,风力发电指数,2025-09-16,0.75,7.5,7.0,7.5,8.0,7.0,2941.6806,2941.6806,2898.7672,2933.4331,1522494600.0
884036.WI,风力发电指数,2025-09-17,0.75,7.5,7.0,8.0,8.0,7.0,3008.17,3011.174,2932.4451,2940.2531,2311356300.0
884036.WI,风力发电指数,2025-09-18,0.4,7.5,7.2,8.5,7.0,6.5,3008.4793,3069.3356,2976.3827,3000.3738,3551797200.0
884036.WI,风力发电指数,2025-09-19,0.35,7.5,7.0,7.0,6.5,6.5,2993.447,3035.8342,2984.5336,3009.6601,2223106900.0
884036.WI,风力发电指数,2025-09-22,0.85,8.7,7.8,8.3,9.2,7.4,2979.5081,2991.6496,2950.2081,2989.5511,1591589100.0
884036.WI,风力发电指数,2025-09-23,0.58,7.3,6.8,8.1,7.6,6.4,2984.769,2985.4605,2911.8621,2975.1733,1937169000.0
884036.WI,风力发电指数,2025-09-24,0.75,8.3,7.8,8.1,8.5,7.2,3019.9244,3020.2871,2967.7732,2974.9499,1584837200.0
884036.WI,风力发电指数,2025-09-25,0.75,8.5,7.8,8.2,8.0,6.8,3038.8627,3063.2376,3015.5245,3017.2119,1882636000.0
884036.WI,风力发电指数,2025-09-26,0.75,8.5,7.8,8.2,8.0,7.3,3096.5729,3154.3166,3033.0244,3033.0629,2739764200.0
884036.WI,风力发电指数,2025-09-29,0.75,8.3,7.8,8.5,8.2,7.5,3133.7886,3157.5073,3097.1173,3125.4427,2709356100.0
884036.WI,风力发电指数,2025-09-30,0.65,7.3,7.0,8.5,8.0,7.2,3121.1085,3154.7398,3111.7731,3130.8011,2396779900.0
884036.WI,风力发电指数,2025-10-09,0.55,7.3,6.8,7.5,7.0,6.5,3208.8501,3213.9914,3118.8646,3131.7389,3100908300.0
884036.WI,风力发电指数,2025-10-10,0.65,8.3,7.8,7.5,8.2,6.4,3206.8251,3242.9012,3175.9824,3188.9034,2652024400.0
884036.WI,风力发电指数,2025-10-13,0.75,7.5,7.0,7.5,8.0,6.5,3197.6904,3203.2076,3078.4399,3078.5084,2463376200.0
884036.WI,风力发电指数,2025-10-14,0.65,7.8,7.5,8.5,8.0,6.5,3137.3873,3272.7824,3123.4596,3210.416,2662688700.0
884036.WI,风力发电指数,2025-10-15,0.65,7.5,7.0,7.0,8.0,7.0,3171.7302,3172.1282,3102.6081,3135.9357,1934805700.0
884036.WI,风力发电指数,2025-10-16,0.7,7.5,7.0,6.5,7.5,6.5,3120.6592,3160.4426,3109.6335,3160.39,1747223500.0
884036.WI,风力发电指数,2025-10-17,0.35,7.0,6.5,7.0,8.0,4.5,3003.6192,3116.8891,2998.3386,3114.5219,1922094800.0
884036.WI,风力发电指数,2025-10-20,0.75,7.5,7.0,7.5,8.0,7.2,3021.7946,3047.54,3001.3413,3038.8748,1692001700.0
884036.WI,风力发电指数,2025-10-21,0.6,7.5,7.0,7.0,7.5,6.5,3071.1292,3072.5555,3023.0641,3024.4165,1655481500.0
884036.WI,风力发电指数,2025-10-22,0.75,8.5,8.0,8.0,7.0,7.5,3105.3229,3128.7254,3059.3027,3072.5341,1729740500.0
884036.WI,风力发电指数,2025-10-23,0.65,7.8,7.2,8.5,8.0,6.8,3119.9686,3123.211,3050.428,3087.681,1606490200.0
884036.WI,风力发电指数,2025-10-24,0.55,7.3,7.0,7.5,8.0,6.8,3143.9406,3151.7551,3120.7626,3120.7626,1684680500.0
884036.WI,风力发电指数,2025-10-27,0.58,7.3,6.8,7.9,7.6,6.4,3150.7019,3164.9473,3128.1329,3161.1819,1839372400.0
884036.WI,风力发电指数,2025-10-28,0.75,8.0,8.0,8.0,8.5,7.0,3124.1511,3154.4756,3117.4204,3152.8523,1745886100.0
884036.WI,风力发电指数,2025-10-29,0.75,8.3,8.0,8.5,8.0,8.5,3164.2686,3164.5845,3101.6214,3113.148,1820382100.0
884036.WI,风力发电指数,2025-10-30,0.5,7.5,6.5,8.5,7.0,7.0,3152.3198,3200.9732,3140.4039,3150.5052,2300243900.0
884036.WI,风力发电指数,2025-10-31,0.75,8.2,7.8,8.5,9.0,7.0,3128.56,3171.9918,3126.8596,3142.8456,2079996000.0
884036.WI,风力发电指数,2025-11-03,0.75,8.3,7.8,8.9,9.1,7.2,3146.7998,3150.8074,3091.9639,3131.0823,1742768300.0
884036.WI,风力发电指数,2025-11-04,0.65,8.3,7.8,8.5,7.2,6.8,3107.1235,3146.5654,3087.1016,3142.9257,1606726300.0
